"","YTID","Author","Year","Title","Journal","Volume","Issue","Pages","DOI","PMCID","Record Number"
"640","1995 - The immune system mediates blood-brain barrier damage; possible implications for pathophysiology of neuropsychiatric illnesses","Y. D. Van Der Werf, M. J. L. De Jongste and G. J. Ter Horst",1995,"The immune system mediates blood-brain barrier damage; possible implications for pathophysiology of neuropsychiatric illnesses","Acta Neuropsychiatrica","7","4","114-121",NA,NA,16342
"641","1995 - The ischaemic penumbra: twenty years on","T. P. Obrenovitch",1995,"The ischaemic penumbra: twenty years on","Cerebrovasc Brain Metab Rev","7","4","297-323",NA,NA,16351
"642","1995 - Transgenic animals as models in the study of the neurobiological role of polyamines","R. A. Kauppinen and L. I. Alhonen",1995,"Transgenic animals as models in the study of the neurobiological role of polyamines","Progress in Neurobiology","47","6","545-563","10.1016/0301-0082(95)00037-2",NA,16406
"643","1995 - Transient cerebral ischemia decreases calcium/calmodulin-dependent protein kinase II immunoreactivity, but not mRNA levels in the gerbil hippocampus","A. M. Babcock, H. Liu, C. M. Paden, D. Edmo, P. Popper and P. E. Micevych",1995,"Transient cerebral ischemia decreases calcium/calmodulin-dependent protein kinase II immunoreactivity, but not mRNA levels in the gerbil hippocampus","Brain Research","705","43497","307-314","10.1016/0006-8993(95)01155-2",NA,16407
"644","1995 - WIN 63480, a hydrophilic TCP-site ligand, has reduced agonist-independent NMDA ion channel access compared to MK-801 and phencyclidine","B. Ault, M. S. Miller, M. D. Kelly, L. M. Hildebrand, W. G. Earley, D. Luttinger, J. P. Mallamo and S. J. Ward",1995,"WIN 63480, a hydrophilic TCP-site ligand, has reduced agonist-independent NMDA ion channel access compared to MK-801 and phencyclidine","Neuropharmacology","34","12","1597-1606","10.1016/0028-3908(95)00125-5",NA,16408
"645","1995 - YM796, a novel muscarinic agonist, improves the impairment of learning behavior in a rat model of chronic focal cerebral ischemia","T. Yamaguchi, M. Suzuki and M. Yamamoto",1995,"YM796, a novel muscarinic agonist, improves the impairment of learning behavior in a rat model of chronic focal cerebral ischemia","Brain Research","669","1","107-114","10.1016/0006-8993(94)01268-M",NA,16409
"646","1995 - Z-4105","S. Ricciardi, R. Fusi, L. Luperi, M. Napoletano and C. Masotto",1995,"Z-4105","Drugs of the Future","20","6","584-586",NA,NA,16410
"647","1996 - [Effect of dl-3-n-butylphthalide on delayed neuronal damage after focal cerebral ischemia and intrasynaptosomes calcium in rats]","J. F. Lin and Y. P. Feng",1996,"[Effect of dl-3-n-butylphthalide on delayed neuronal damage after focal cerebral ischemia and intrasynaptosomes calcium in rats]","Yao Xue Xue Bao","31","3","166-70",NA,NA,16454
"648","1996 - [Inter-hemisphere asymmetry of cerebral lipid peroxidation in rats with various types of behavior as a prognostic indicator of their resistance to cerebral ischemia and effectiveness of the anti-ischemic action of substance P]","B. Opitts and K. Sarkisova",1996,"[Inter-hemisphere asymmetry of cerebral lipid peroxidation in rats with various types of behavior as a prognostic indicator of their resistance to cerebral ischemia and effectiveness of the anti-ischemic action of substance P]","Dokl Akad Nauk","346","2","275-7",NA,NA,16485
"649","1996 - [Structural mechanisms of resistance to cerebral ischemia in rats with different types of behavior]","N. I. Artiukhina and K. I. Sarkisova",1996,"[Structural mechanisms of resistance to cerebral ischemia in rats with different types of behavior]","Dokl Akad Nauk","351","1","123-7",NA,NA,16541
"650","1996 - An alternative method for the quantitation of neuronal damage after experimental middle cerebral artery occlusion in rats: Analysis of behavioral deficit","J. Aronowski, E. Samways, R. Strong, H. M. Rhoades and J. C. Grotta",1996,"An alternative method for the quantitation of neuronal damage after experimental middle cerebral artery occlusion in rats: Analysis of behavioral deficit","Journal of Cerebral Blood Flow and Metabolism","16","4","705-713",NA,NA,16414
"651","1996 - Behavioral studies on rats with transient cerebral ischemia induced by occlusion of the middle cerebral artery","N. Sakai, K. Yanai, J. H. Ryu, H. Nagasawa, T. Hasegawa, T. Sasaki, K. Kogure and T. Watanabe",1996,"Behavioral studies on rats with transient cerebral ischemia induced by occlusion of the middle cerebral artery","Behavioural Brain Research","77","43497","181-188","10.1016/0166-4328(95)00232-4",NA,16420
"652","1996 - Brain energy metabolism in the acute stage of experimental subarachnoid haemorrhage: local changes in cerebral glucose utilization","D. d'Avella, R. Cicciarello, M. Zuccarello, F. Albiero, A. Romano, F. F. Angileri, F. M. Salpietro and F. Tomasello",1996,"Brain energy metabolism in the acute stage of experimental subarachnoid haemorrhage: local changes in cerebral glucose utilization","Acta Neurochir (Wien)","138","6","737-43; discussion 744",NA,NA,16422
"653","1996 - Characterization of endothelin receptors in the cerebral vasculature and their lack of effect on spreading depression","P. J. Goadsby, M. Adner and L. Edvinsson",1996,"Characterization of endothelin receptors in the cerebral vasculature and their lack of effect on spreading depression","Journal of Cerebral Blood Flow and Metabolism","16","4","698-704",NA,NA,16427
"654","1996 - Cholinergic changes in the hippocampus of stroke-prone spontaneously hypertensive rats","H. Togashi, S. Kimura, M. Matsumoto, M. Yoshioka, M. Minami and H. Saito",1996,"Cholinergic changes in the hippocampus of stroke-prone spontaneously hypertensive rats","Stroke","27","3","520-526",NA,NA,16429
"655","1996 - Comparison of protection by propranolol, bepridil, verapamil, and captopril on depleting ATP, ADP, and AMP in heart, brain, and liver by anoxia plus isoprenaline","D. Z. Dai, Y. Zhu, Y. Tian, S. H. Chen and H. Wang",1996,"Comparison of protection by propranolol, bepridil, verapamil, and captopril on depleting ATP, ADP, and AMP in heart, brain, and liver by anoxia plus isoprenaline","Drug Development Research","39","2","125-130","10.1002/(SICI)1098-2299(199610)39:2<125::AID-DDR2>3.0.CO;2-R",NA,16431
"656","1996 - Correlation between enhanced vascular permeability, up-regulation of cellular adhesion molecules and monocyte adhesion to the endothelium in the retina during the development of fatal murine cerebral malaria","N. Ma, N. H. Hunt, M. C. Madigan and T. Chan-Ling",1996,"Correlation between enhanced vascular permeability, up-regulation of cellular adhesion molecules and monocyte adhesion to the endothelium in the retina during the development of fatal murine cerebral malaria","American Journal of Pathology","149","5","1745-1762",NA,NA,16435
"657","1996 - Cortical spreading depression protects against subsequent focal cerebral ischemia in rats","K. Matsushima, M. J. Hogan and A. M. Hakim",1996,"Cortical spreading depression protects against subsequent focal cerebral ischemia in rats","J Cereb Blood Flow Metab","16","2","221-6","10.1097/00004647-199603000-00006",NA,16436
"658","1996 - Decompressive craniectomy in a rat model of 'malignant' cerebral hemispheric stroke: Experimental support for an aggressive therapeutic approach","A. Doerfler, M. Forsting, W. Reith, C. Staff, S. Heiland, W. R. Schäbitz, R. Von Kummer, W. Hacke and K. Sartor",1996,"Decompressive craniectomy in a rat model of 'malignant' cerebral hemispheric stroke: Experimental support for an aggressive therapeutic approach","Journal of Neurosurgery","85","5","853-859",NA,NA,16437
"659","1996 - Delayed postischemic hyperthermia in awake rats worsens the histopathological outcome of transient focal cerebral ischemia","Y. Kim, R. Busto, W. D. Dietrich, S. Kraydieh and M. D. Ginsberg",1996,"Delayed postischemic hyperthermia in awake rats worsens the histopathological outcome of transient focal cerebral ischemia","Stroke","27","12","2274-2281",NA,NA,16439
"660","1996 - Drinking and blood pressure responses to central injection of L-NAME in conscious rats","H. Liu, M. L. Terrell, J. Y. Summy-Long and M. Kadekaro",1996,"Drinking and blood pressure responses to central injection of L-NAME in conscious rats","Physiol Behav","59","6","1137-45",NA,NA,16449
"661","1996 - Effect of age in rodent models of focal and forebrain ischemia","G. R. Sutherland, G. A. Dix and R. N. Auer",1996,"Effect of age in rodent models of focal and forebrain ischemia","Stroke","27","9","1663-1668",NA,NA,16451
"662","1996 - Effect of basic fibroblast growth factor on experimental focal ischemia studied by diffusion-weighted and perfusion imaging","T. Tatlisumak, K. Takano, R. A. D. Carano and M. Fisher",1996,"Effect of basic fibroblast growth factor on experimental focal ischemia studied by diffusion-weighted and perfusion imaging","Stroke","27","12","2292-2298",NA,NA,16452
"663","1996 - Effects of a thrombin inhibitor, argatroban, on ischemic brain damage in the rat distal middle cerebral artery occlusion model","H. Kawai, S. Yuki, J. Sugimoto and Y. Tamao",1996,"Effects of a thrombin inhibitor, argatroban, on ischemic brain damage in the rat distal middle cerebral artery occlusion model","Journal of Pharmacology and Experimental Therapeutics","278","2","780-785",NA,NA,16456
"664","1996 - Effects of fluoxetine and maprotiline on functional recovery in poststroke hemiplegic patients undergoing rehabilitation therapy","M. Dam, P. Tonin, A. De Boni, G. Pizzolato, S. Casson, M. Ermani, U. Freo, L. Piron and L. Battistin",1996,"Effects of fluoxetine and maprotiline on functional recovery in poststroke hemiplegic patients undergoing rehabilitation therapy","Stroke","27","7","1211-1214",NA,NA,16458
"665","1996 - Effects of LY231617 and angiotensin IV on ischemia-induced deficits in circular water maze and passive avoidance performance in rats","J. W. Wright, J. A. Clemens, J. A. Panetta, E. B. Smalstig, L. S. Weatherly, E. A. Kramár, E. S. Pederson, B. H. Mungall and J. W. Harding",1996,"Effects of LY231617 and angiotensin IV on ischemia-induced deficits in circular water maze and passive avoidance performance in rats","Brain Research","717","43497","43770","10.1016/0006-8993(95)01454-3",NA,16461
"666","1996 - Effects of tiapride on ischemia-induced hyperactivity in Mongolian gerbils","A. Moriguchi, H. Satoh, T. Honbo, S. Takakura, S. Matsuo and K. Shimomura",1996,"Effects of tiapride on ischemia-induced hyperactivity in Mongolian gerbils","Japanese Pharmacology and Therapeutics","24","11","29-33",NA,NA,16463
"667","1996 - Eliprodil hydrochloride",NA,1996,"Eliprodil hydrochloride","Drugs of the Future","21","10","1065-1066",NA,NA,16464
"668","1996 - Enzyme-histochemical and morphological characteristics of fast- and slow-twitch skeletal muscle after brain infarction in the rat","T. Ansved, A. L. Ohlsson, F. Jakobsson and B. B. Johansson",1996,"Enzyme-histochemical and morphological characteristics of fast- and slow-twitch skeletal muscle after brain infarction in the rat","Journal of the Neurological Sciences","144","43497","14-20","10.1016/S0022-510X(96)00220-1",NA,16465
"669","1996 - Excitotoxic damage in neurotrauma: Fact or fiction","X. Di, T. Harpold, J. C. Watson and M. R. Bullock",1996,"Excitotoxic damage in neurotrauma: Fact or fiction","Restorative Neurology and Neuroscience","9","4","231-241",NA,NA,16466
"670","1996 - Experimental intracerebral hemorrhage in rats: Magnetic resonance imaging and histopathological correlates","M. R. Del Bigio, H. J. Yan, R. Buist and J. Peeling",1996,"Experimental intracerebral hemorrhage in rats: Magnetic resonance imaging and histopathological correlates","Stroke","27","12","2312-2320",NA,NA,16467
"671","1996 - Fetal neocortical grafts placed in brain infarcts do not improve paw-reaching deficits in adult spontaneously hypertensive rats","M. Grabowski, B. B. Johansson and P. Brundin",1996,"Fetal neocortical grafts placed in brain infarcts do not improve paw-reaching deficits in adult spontaneously hypertensive rats","Acta neurochirurgica. Supplement","66",NA,"68-72",NA,NA,16469
"672","1996 - Ginseng pretreatment protects against transient global cerebral ischemia in the rat: Measurement of local cerebral glucose utilization by [14C]deoxyglucose autoradiography","C. Seok Rye, H. Saji, Y. Iida, Y. Magata and A. Yokoyama",1996,"Ginseng pretreatment protects against transient global cerebral ischemia in the rat: Measurement of local cerebral glucose utilization by [14C]deoxyglucose autoradiography","Biological and Pharmaceutical Bulletin","19","4","644-646",NA,NA,16475
"673","1996 - Heme oxygenase-1 (HO-1) protein induction in rat brain following focal ischemia","T. Nimura, P. R. Weinstein, S. M. Massa, S. Panter and F. R. Sharp",1996,"Heme oxygenase-1 (HO-1) protein induction in rat brain following focal ischemia","Brain Res Mol Brain Res","37","43497","201-8",NA,NA,16477
"674","1996 - Heparin reduces neurological impairment after cerebral arterial air embolism in the rabbit","K. H. Ryu, B. J. Hindman, D. K. Reasoner and F. Dexter",1996,"Heparin reduces neurological impairment after cerebral arterial air embolism in the rabbit","Stroke","27","2","303-9; discussion 310",NA,NA,16478
"675","1996 - Hypothermia reduces the propensity of cortical tissue to propagate direct current depolarizations in the rat","S. Takaoka, R. D. Pearlstein and D. S. Warner",1996,"Hypothermia reduces the propensity of cortical tissue to propagate direct current depolarizations in the rat","Neurosci Lett","218","1","43702",NA,NA,16480
"676","1996 - Inhibition of cortical spreading depression by L-701,324, a novel antagonist at the glycine site of the N-methyl-D-aspartate receptor complex","T. P. Obrenovitch and E. Zilkha",1996,"Inhibition of cortical spreading depression by L-701,324, a novel antagonist at the glycine site of the N-methyl-D-aspartate receptor complex","Br J Pharmacol","117","5","931-7",NA,"PMC1909404",16484
"677","1996 - Intracisternal basic fibroblast growth factor (bFGF) enhances behavioral recovery following focal cerebral infarction in the rat","T. Kawamata, N. E. Alexis, W. D. Dietrich and S. P. Finklestein",1996,"Intracisternal basic fibroblast growth factor (bFGF) enhances behavioral recovery following focal cerebral infarction in the rat","Journal of Cerebral Blood Flow and Metabolism","16","4","542-547",NA,NA,16488
"678","1996 - Is glia disfunction the initial cause of neuronal death in ischemic penumbra?","C. Largo, P. Cuevas and O. Herreras",1996,"Is glia disfunction the initial cause of neuronal death in ischemic penumbra?","Neurol Res","18","5","445-8",NA,NA,16489
"679","1996 - Mapping of the basal forebrain cholinergic system of the dog: A choline acetyltransferase immunohistochemical study","R. St-Jacques, W. Gorczyca, G. Mohr and H. M. Schipper",1996,"Mapping of the basal forebrain cholinergic system of the dog: A choline acetyltransferase immunohistochemical study","Journal of Comparative Neurology","366","4","717-725","10.1002/(SICI)1096-9861(19960318)366:4<717::AID-CNE10>3.0.CO;2-C",NA,16492
"680","1996 - Middle cerebral artery occlusion in the rat by intraluminal suture: Neurological and pathological evaluation of an improved model","L. Belayev, O. F. Alonso, R. Busto, W. Zhao and M. D. Ginsberg",1996,"Middle cerebral artery occlusion in the rat by intraluminal suture: Neurological and pathological evaluation of an improved model","Stroke","27","9","1616-1623",NA,NA,16495
"681","1996 - MK-801 reduces retinal ganglion cell survival but improves visual performance after controlled optic nerve crush","U. Schmitt and B. A. Sabel",1996,"MK-801 reduces retinal ganglion cell survival but improves visual performance after controlled optic nerve crush","Journal of Neurotrauma","13","12","791-800",NA,NA,16496
"682","1996 - Motor dysfunction in a photothrombotic focal ischaemia model","N. I. Wood, B. V. Sopesen, J. C. Roberts, P. Pambakian, A. L. Rothaul, A. J. Hunter and T. C. Hamilton",1996,"Motor dysfunction in a photothrombotic focal ischaemia model","Behavioural Brain Research","78","2","113-120","10.1016/0166-4328(95)00237-5",NA,16499
"683","1996 - MR detection of cortical spreading depression immediately after focal ischemia in the rat","J. Rother, A. J. de Crespigny, H. D'Arceuil and M. E. Mosley",1996,"MR detection of cortical spreading depression immediately after focal ischemia in the rat","J Cereb Blood Flow Metab","16","2","214-20","10.1097/00004647-199603000-00005",NA,16500
"684","1996 - Nebracetam (WEB1881 FU) - A review of its cytoprotective and cholinomimetic properties","Y. Kohno and S. Shibata",1996,"Nebracetam (WEB1881 FU) - A review of its cytoprotective and cholinomimetic properties","CNS Drug Reviews","2","1","43831",NA,NA,16502
"685","1996 - Neurobehavioral consequences of induced spreading depression following photothrombotic middle cerebral artery occlusion","N. E. Alexis, T. Back, W. Zhao, W. D. Dietrich, B. D. Watson and M. D. Ginsberg",1996,"Neurobehavioral consequences of induced spreading depression following photothrombotic middle cerebral artery occlusion","Brain Research","706","2","273-282","10.1016/0006-8993(95)01180-3",NA,16505
"686","1996 - Neuronal lesions and behavioral modifications in rat following cerebral ischemia and reperfusion","G. Martinez, M. L. Carnazza, C. Di Giacomo, V. Sorrenti, R. Castana, G. Pennisi, J. R. Perez-Polo and A. Vanella",1996,"Neuronal lesions and behavioral modifications in rat following cerebral ischemia and reperfusion","Neurochemical Research","21","6","667-674","10.1007/BF02527723",NA,16507
"687","1996 - Neuroprotection by melatonin from kainate-induced excitotoxicity in rats","P. Giusti, M. Lipartiti, D. Franceschini, N. Schiavo, M. Floreani and H. Manev",1996,"Neuroprotection by melatonin from kainate-induced excitotoxicity in rats","FASEB Journal","10","8","891-896",NA,NA,16508
"688","1996 - Neuroprotection with felbamate: A 7- and 28-day study in transient forebrain ischemia in gerbils","A. Shuaib, T. Waqaar, M. S. Ijaz, R. Kanthan, T. Wishart and W. Howlett",1996,"Neuroprotection with felbamate: A 7- and 28-day study in transient forebrain ischemia in gerbils","Brain Research","727","43497","65-70","10.1016/S0006-8993(96)00352-6",NA,16509
"689","1996 - Periinfarct depolarizations","K. A. Hossmann",1996,"Periinfarct depolarizations","Cerebrovasc Brain Metab Rev","8","3","195-208",NA,NA,16516
"690","1996 - Pharmacological studies of a novel prolyl endopeptidase inhibitor, JTP-4819, in rats with middle cerebral artery occlusion","M. Shinoda, A. Matsuo and K. Toide",1996,"Pharmacological studies of a novel prolyl endopeptidase inhibitor, JTP-4819, in rats with middle cerebral artery occlusion","European Journal of Pharmacology","305","43525","31-38","10.1016/0014-2999(96)00173-2",NA,16518
"691","1996 - Phenytoin-induced hyperglycaemia may confound rat cerebroprotection models","H. Qi and G. C. Newman",1996,"Phenytoin-induced hyperglycaemia may confound rat cerebroprotection models","Clin Exp Pharmacol Physiol","23","43779","893-7",NA,NA,16519
"692","1996 - Possibilities of brain protection with tirilazad after cardiac arrest","F. Sterz, K. Janata, I. Kürkciyan, M. Müllner, R. Malzer and W. Schreiber",1996,"Possibilities of brain protection with tirilazad after cardiac arrest","Seminars in Thrombosis and Hemostasis","22","1","105-112",NA,NA,16520
"693","1996 - Potassium-induced cortical spreading depressions during focal cerebral ischemia in rats: contribution to lesion growth assessed by diffusion-weighted NMR and biochemical imaging","E. Busch, M. L. Gyngell, M. Eis, M. Hoehn-Berlage and K. A. Hossmann",1996,"Potassium-induced cortical spreading depressions during focal cerebral ischemia in rats: contribution to lesion growth assessed by diffusion-weighted NMR and biochemical imaging","J Cereb Blood Flow Metab","16","6","1090-9","10.1097/00004647-199611000-00002",NA,16522
"694","1996 - Preclinical studies with modafinil. Evidence for vigilance enhancement and neuroprotection","K. Fuxe, F. A. Rambert, L. Ferraro, W. O'Connor, P. Laurent, L. F. Agnati and S. Tanganelli",1996,"Preclinical studies with modafinil. Evidence for vigilance enhancement and neuroprotection","Drugs of Today","32","4","313-326",NA,NA,16523
"695","1996 - Pretreatment but not posttreatment with GYKI 52466 reduces functional deficits and neuronal damage after global ischemia in rats","F. Block, W. Schmitt and M. Schwarz",1996,"Pretreatment but not posttreatment with GYKI 52466 reduces functional deficits and neuronal damage after global ischemia in rats","Journal of the Neurological Sciences","139","2","167-172","10.1016/S0022-510X(96)00067-6",NA,16524
"696","1996 - Progesterone is neuroprotective after transient middle cerebral artery occlusion in male rats","N. Jiang, M. Chopp, D. Stein and H. Feit",1996,"Progesterone is neuroprotective after transient middle cerebral artery occlusion in male rats","Brain Research","735","1","101-107","10.1016/0006-8993(96)00605-1",NA,16525
"697","1996 - Quantitative evaluation of blood-brain barrier permeability following middle cerebral artery occlusion in rats","L. Belayev, R. Busto, W. Zhao and M. D. Ginsberg",1996,"Quantitative evaluation of blood-brain barrier permeability following middle cerebral artery occlusion in rats","Brain Research","739","43497","88-96","10.1016/S0006-8993(96)00815-3",NA,16528
"698","1996 - Recovery of apparent diffusion coefficient after ischemia-induced spreading depression relates to cerebral perfusion gradient","J. Rother, A. J. de Crespigny, H. D'Arceuil, K. Iwai and M. E. Moseley",1996,"Recovery of apparent diffusion coefficient after ischemia-induced spreading depression relates to cerebral perfusion gradient","Stroke","27","5","980-6; discussion 986-7",NA,NA,16529
"699","1996 - Relationship between extracellular glutamate concentration and voltage-sensitive calcium channel function in focal cerebral ischemia in the rat","H. Osuga and A. M. Hakim",1996,"Relationship between extracellular glutamate concentration and voltage-sensitive calcium channel function in focal cerebral ischemia in the rat","J Cereb Blood Flow Metab","16","4","629-36","10.1097/00004647-199607000-00013",NA,16531
"700","1996 - Sensorimotor impairments in rats with cerebral infarction, induced by unilateral occlusion of the left middle cerebral artery: Strain differences and effects of the occlusion site","F. J. Van Der Staay, K. H. Augstein and E. Horváth",1996,"Sensorimotor impairments in rats with cerebral infarction, induced by unilateral occlusion of the left middle cerebral artery: Strain differences and effects of the occlusion site","Brain Research","735","2","271-284","10.1016/0006-8993(96)00607-5",NA,16537
"701","1996 - Sensorimotor impairments in Wistar Kyoto rats with cerebral infarction, induced by unilateral occlusion of the middle cerebral artery: Recovery of function","F. J. Van Der Staay, K. H. Augstein and E. Horváth",1996,"Sensorimotor impairments in Wistar Kyoto rats with cerebral infarction, induced by unilateral occlusion of the middle cerebral artery: Recovery of function","Brain Research","715","43497","180-188","10.1016/0006-8993(95)01581-7",NA,16538
"702","1996 - Separation of activation and pattern in grooming development of weaver mice","V. J. Bolivar, W. Danilchuk and J. C. Fentress",1996,"Separation of activation and pattern in grooming development of weaver mice","Behavioural Brain Research","75","43497","49-58","10.1016/0166-4328(96)00156-8",NA,16539
"703","1996 - Spreading depression as a contributor to ischemic brain damage","M. Nedergaard",1996,"Spreading depression as a contributor to ischemic brain damage","Adv Neurol","71",NA,"75-83; discussion 83-4",NA,NA,16540
"704","1996 - Tacrolimus (FK506) ameliorates skilled motor deficits produced by middle cerebral artery occlusion in rats","J. Sharkey, J. H. Crawford, S. P. Butcher and H. M. Marston",1996,"Tacrolimus (FK506) ameliorates skilled motor deficits produced by middle cerebral artery occlusion in rats","Stroke","27","12","2282-2286",NA,NA,16543
"705","1996 - Tamolarizine hydrochloride",NA,1996,"Tamolarizine hydrochloride","Drugs of the Future","21","4","457",NA,NA,16544
"706","1996 - The chronic administration of docosahexaenoic acid reduces the spatial cognitive deficit following transient forebrain ischemia in rats","M. Okada, T. Amamoto, M. Tomonaga, A. Kawachi, K. Yazawa, K. Mine and M. Fujiwara",1996,"The chronic administration of docosahexaenoic acid reduces the spatial cognitive deficit following transient forebrain ischemia in rats","Neuroscience","71","1","17-25","10.1016/0306-4522(95)00427-0",NA,16430
"707","1996 - The disruption of spatial cognition and changes in brain amino acid, monoamine and acetylcholine in rats with transient cerebral ischemia","K. Iwasaki, Y. Kitamura, Y. Ohgami, K. Mishima and M. Fujiwara",1996,"The disruption of spatial cognition and changes in brain amino acid, monoamine and acetylcholine in rats with transient cerebral ischemia","Brain Research","709","2","163-172","10.1016/0006-8993(95)01235-4",NA,16446
"708","1996 - The effects of prolonged treatment with citicoline in temporary experimental focal ischemia","W. R. Schäbitz, J. Weber, K. Takano, B. W. Sandage, K. W. Locke and M. Fisher",1996,"The effects of prolonged treatment with citicoline in temporary experimental focal ischemia","Journal of the Neurological Sciences","138","43497","21-25","10.1016/0022-510X(95)00341-X",NA,16462
"709","1996 - The measurement of extracellular inorganic phosphate gives a more reliable indication for severe impairment of cerebral cell function and cell death than the measurement of extracellular lactate","D. Scheller, J. Kolb, U. Peters and F. Tegtmeier",1996,"The measurement of extracellular inorganic phosphate gives a more reliable indication for severe impairment of cerebral cell function and cell death than the measurement of extracellular lactate","Acta Neurochir Suppl","67",NA,"28-30",NA,NA,16493
"710","1996 - The pharmaceutical potential of seleno-organic compounds","M. J. Parnham",1996,"The pharmaceutical potential of seleno-organic compounds","Expert Opinion on Investigational Drugs","5","7","861-870",NA,NA,16517
"711","1996 - The role of spreading depression in focal ischemia evaluated by diffusion mapping","K. Takano, L. L. Latour, J. E. Formato, R. A. Carano, K. G. Helmer, Y. Hasegawa, C. H. Sotak and M. Fisher",1996,"The role of spreading depression in focal ischemia evaluated by diffusion mapping","Ann Neurol","39","3","308-18","10.1002/ana.410390307",NA,16535
"712","1996 - Time-sequential change in apomorphine-induced rotational behavior following transient middle cerebral artery occlusion in rats","K. Korematsu, S. Goto, S. Nagahiro, K. Yamada, M. Yoshikawa, A. Okamura and Y. Ushio",1996,"Time-sequential change in apomorphine-induced rotational behavior following transient middle cerebral artery occlusion in rats","Biomedical Research","17","5","395-398",NA,NA,16545
"713","1996 - Treatment of experimental focal ischemia in rats with lubeluzole","J. Aronowski, R. Strong and J. C. Grotta",1996,"Treatment of experimental focal ischemia in rats with lubeluzole","Neuropharmacology","35","6","689-693","10.1016/S0028-3908(96)00046-9",NA,16546
"714","1996 - Vasomotion, regional cerebral blood flow and intracranial pressure after induced subarachnoid haemorrhage in rats","H. Ebel, D. S. Rust, A. Leschinger, N. Ehresmann, A. Kranz, O. Hoffmann and D. K. Böker",1996,"Vasomotion, regional cerebral blood flow and intracranial pressure after induced subarachnoid haemorrhage in rats","Zentralblatt fur Neurochirurgie","57","3","150-155",NA,NA,16548
"715","1996 - Visualization of lCBF changes during cortical infarction using IR thermo-encephaloscopy","M. Rausch and U. T. Eysel",1996,"Visualization of lCBF changes during cortical infarction using IR thermo-encephaloscopy","Neuroreport","7","15-17","2603-6",NA,NA,16549
"716","1996 - Widespread hemodynamic depression and focal platelet accumulation after fluid percussion brain injury: a double-label autoradiographic study in rats","W. D. Dietrich, O. Alonso, R. Busto, R. Prado, S. Dewanjee, M. K. Dewanjee and M. D. Ginsberg",1996,"Widespread hemodynamic depression and focal platelet accumulation after fluid percussion brain injury: a double-label autoradiographic study in rats","J Cereb Blood Flow Metab","16","3","481-9","10.1097/00004647-199605000-00015",NA,16550
"717","1997 - [Ultrastructural changes in brain mitochondria in rats with different types of behavior as an indicator of cerebral ischemia severity]","N. I. Artiukhina and K. I. Sarkisova",1997,"[Ultrastructural changes in brain mitochondria in rats with different types of behavior as an indicator of cerebral ischemia severity]","Dokl Akad Nauk","357","6","839-43",NA,NA,16713
"718","1997 - 5-Aminocoumarans: Dual inhibitors of lipid peroxidation and dopamine release with protective effects against central nervous system trauma and ischemia","S. Ohkawa, K. Fukatsu, S. Miki, T. Hashimoto, J. Sakamoto, T. Doi, Y. Nagai and T. Aono",1997,"5-Aminocoumarans: Dual inhibitors of lipid peroxidation and dopamine release with protective effects against central nervous system trauma and ischemia","Journal of Medicinal Chemistry","40","4","559-573","10.1021/jm960411j",NA,16551
"719","1997 - A concussive-like brain injury model in mice (II): selective neuronal loss in the cortex and hippocampus","Y. P. Tang, Y. Noda, T. Hasegawa and T. Nabeshima",1997,"A concussive-like brain injury model in mice (II): selective neuronal loss in the cortex and hippocampus","J Neurotrauma","14","11","863-73","10.1089/neu.1997.14.863",NA,16588
"720","1997 - A novel prolyl endopeptidase inhibitor, JTP-4819, with potential for treating Alzheimer's disease","K. Toide, M. Shinoda, Y. Iwamoto, T. Fujiwara, K. Okamiya and A. Uemura",1997,"A novel prolyl endopeptidase inhibitor, JTP-4819, with potential for treating Alzheimer's disease","Behav Brain Res","83","43497","147-51",NA,NA,16670
"721","1997 - A randomized dose-response trial of citicoline in acute ischemic stroke patients","W. M. Clark, S. J. Warach, L. C. Pettigrew, R. E. Gammans and L. A. Sabounjian",1997,"A randomized dose-response trial of citicoline in acute ischemic stroke patients","Neurology","49","3","671-678",NA,NA,16687
"722","1997 - Acute behavioural effects of corticosterone lack specificity but show marked context-dependency","J. Haller, I. Albert and G. B. Makara",1997,"Acute behavioural effects of corticosterone lack specificity but show marked context-dependency","Journal of Neuroendocrinology","9","7","515-518",NA,NA,16552
"723","1997 - Adaptive plasticity in primate motor cortex as a consequence of behavioral experience and neuronal injury","R. J. Nudo, E. J. Plautz and G. W. Milliken",1997,"Adaptive plasticity in primate motor cortex as a consequence of behavioral experience and neuronal injury","Seminars in the Neurosciences","9","43497","13-23","10.1006/smns.1997.0102",NA,16553
"724","1997 - Adenosine kinase inhibition protects brain against transient focal ischemia in rats","N. Jiang, E. A. Kowaluk, C. H. Lee, H. Mazdiyasni and M. Chopp",1997,"Adenosine kinase inhibition protects brain against transient focal ischemia in rats","European Journal of Pharmacology","320","43526","131-137","10.1016/S0014-2999(96)00905-3",NA,16554
"725","1997 - Alteration in Ca2+/Calmodulin-sensitive adenylyl cyclase activity in the hippocampus and the cerebral cortex of stroke-prone spontaneously hypertensive rats","S. Hatta, N. Amemiya, H. Togashi, M. Yoshioka, H. Saito and H. Ohshika",1997,"Alteration in Ca2+/Calmodulin-sensitive adenylyl cyclase activity in the hippocampus and the cerebral cortex of stroke-prone spontaneously hypertensive rats","Japanese Heart Journal","38","4","559",NA,NA,16557
